WARD NO,AGE,GENDER,MONTHLY INCOME,VEHICLE OWNERSHIP,"IF HAVE, VEHICLE TYPE",NEAREST STOP DISTANCE (m),REGUALR TRAVEL DISTANCE (km),TRAVEL MODE FOR LESS THAN 5KM,REGULAR TRAVEL MODE,WORK,SHOPPING,SOCIAL LIFE
21,21,Female,6000,No,,200,1,Rickshaw,Walking,Walking,Rickshaw,Walking
21,25,Female,10000,No,,200,3.8,Walking,Walking,Walking,Walking,Walking
21,25,Male,10000,No,,400,3.7,Walking,Bus,Walking,Walking,Bus
21,45,Male,50000,No,,300,18,Bus,Bus,Bus,Walking,Bus
21,36,Male,35000,No,,100,2.8,Rickshaw,Laguna,Laguna,Rickshaw,Rickshaw
21,17,Male,0,No,,50,2.4,Walking,Bus,,Walking,Walking
21,30,Male,32000,No,,50,6.9,Bus,Bus,Bus,Walking,Bus
21,31,Male,28000,Yes,Motorcycle,300,4.7,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
21,25,Female,7000,No,,50,0.7,Rickshaw,Rickshaw,Walking,Rickshaw,Rickshaw
21,52,Male,42000,No,,50,3.3,Rickshaw,Bus,Bus,Rickshaw,CNG
21,29,Male,17000,No,,100,1,Bus,Bus,Bus,Walking,Walking
21,15,Male,0,No,,100,1.8,Bus,Bus,,Walking,Walking
21,16,Male,0,No,,200,2,Walking,Laguna,,Walking,Walking
21,31,Male,22000,No,,50,2.5,Bus,Bus,Bus,Motorcycle,Bus
21,56,Male,18000,No,,100,0.5,Walking,Walking,Walking,Walking,Walking
21,23,Female,15000,No,,200,1,Bus,Walking,Walking,Walking,Walking
21,42,Male,30000,No,,250,2.7,Bus,Bus,Bus,Walking,Walking
21,23,Male,13000,Yes,Motorcycle,50,2.3,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
21,36,Male,28000,No,,150,3.3,Bus,Bus,Bus,Walking,Bus
21,27,Male,35000,No,,200,5.6,Bus,Bus,Bus,Walking,Walking
21,19,Male,9000,No,,100,2.4,Bus,Bus,Bus,Walking,Bus
21,17,Female,0,No,,150,1.3,Rickshaw,Rickshaw,,Rickshaw,Walking
21,22,Male,6000,No,,200,2.1,Bus,Walking,Walking,Walking,Walking
21,28,Male,25000,Yes,Motorcycle,100,1,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motor cycle
22,26, Male,15000,No,,100,2.3,Rickshaw,Laguna,Laguna,Rickshaw,others
22,27,Male ,20000,No,,100,3.6,Walking,Bus,Bus,CNG,CNG
22,36,Male ,40000,No,,130,8,Rickshaw,CNG,CNG,CNG,CNG
22,48,Male ,1500000,Yes,Car,250,8,others,others,others,others,others
22,40,Male ,35000,No,,100,10,Rickshaw,CNG,Bus,Rickshaw,CNG
22,56,Male ,45000,No,,100,3,Walking,CNG,Bus,Rickshaw,CNG
